uid|sb|code|error|updated
uid://A002/X74deb6/X66f|uid://A002/X5d7935/X3a1|2012.1.00554.S|0.107865158079|False
uid://A002/X74deb6/X14df|uid://A002/X5d7935/X3a2|2012.1.00554.S|0.321383161871|True
uid://A002/X74deb6/X1585|uid://A002/X5d7935/X3a5|2012.1.00554.S|0.287399151345|False
uid://A002/X74eb2a/X1b7|uid://A002/X5d7935/X3a4|2012.1.00554.S|0.299937242716|True
uid://A002/X74eb2a/X24b|uid://A002/X5d7935/X3a4|2012.1.00554.S|0.299822157281|True
uid://A002/X74eb2a/X5c8|uid://A002/X5d7935/X3a5|2012.1.00554.S|0.290259536247|False
uid://A002/X74eb2a/Xaa4|uid://A002/X5d7935/X3a5|2012.1.00554.S|0.32887398223|False
uid://A002/X796777/X493|uid://A002/X5d7935/X3a1|2012.1.00554.S|0.0166029509201|False
uid://A002/X796777/X66b|uid://A002/X5d7935/X3a5|2012.1.00554.S|0.289753869921|False
uid://A002/X7b492c/X4a0|uid://A002/X5d7935/X39e|2012.1.00554.S|0.0206241529959|False
uid://A002/X7c18c1/X2be|uid://A002/X5d7935/X3a3|2012.1.00554.S|0.327356366825|False
uid://A002/X7c18c1/X4c7|uid://A002/X5d7935/X3a2|2012.1.00554.S|0.324208425379|True
uid://A002/X7c18c1/X6c6|uid://A002/X5d7935/X3a0|2012.1.00554.S|0.0120733124816|False
uid://A002/X7e72ba/X2d2|uid://A002/X5d7935/X3a5|2012.1.00554.S|0.289753869921|False
uid://A002/X7fc9da/X2ade|uid://A002/X5d7935/X3a5|2012.1.00554.S|0.289753869921|False
uid://A002/X9d355b/Xa00|uid://A002/X5d7935/X3a1|2012.1.00554.S|0.0166029509201|False
uid://A002/X75d7ca/Xe79|uid://A002/X6f9b0f/Xbc|2012.1.00603.S|0.104598522886|False
uid://A002/X75d7ca/X117e|uid://A002/X6f9b0f/Xc0|2012.1.00603.S|0.107512163353|False
uid://A002/X75d7ca/X1400|uid://A002/X6f9b0f/Xbb|2012.1.00603.S|0.0742755136503|False
uid://A002/X75d7ca/X166f|uid://A002/X6f9b0f/Xbf|2012.1.00603.S|0.0432364618337|False
uid://A002/X75f169/X4c6|uid://A002/X6f9b0f/Xc0|2012.1.00603.S|0.107943186243|False
uid://A002/X75f169/X4d9|uid://A002/X6f9b0f/Xc3|2012.1.00603.S|0.113680929036|True
uid://A002/X75f169/X6fc|uid://A002/X6f9b0f/Xc7|2012.1.00603.S|0.11762937821|True
uid://A002/X75f169/X6fd|uid://A002/X6f9b0f/Xc0|2012.1.00603.S|0.108806153152|False
