,UID,DATE,ValidUID,NullState,SyscalTime,CSV2555
1314,uid://A002/X8081ba/X3226,2014-05-04 07:56:26.386000,True,True,True,False
1315,uid://A002/X8081ba/X31e3,2014-05-04 07:47:47.487000,True,True,True,False
1316,uid://A002/X8081ba/X2f08,2014-05-04 06:16:22.282000,True,True,True,False
1317,uid://A002/X8081ba/X1fe2,2014-05-03 22:54:24.697000,True,True,True,False
1318,uid://A002/X8081ba/X1cab,2014-05-03 21:28:01.800000,True,True,True,False
1319,uid://A002/X8081ba/X1859,2014-05-03 19:32:50.737000,True,True,False,False
1320,uid://A002/X8081ba/X15d8,2014-05-03 18:25:23.536000,True,True,True,False
1321,uid://A002/X8081ba/X15c5,2014-05-03 18:22:36.260000,True,True,True,False
1322,uid://A002/X8081ba/X12e2,2014-05-03 17:04:44.647000,True,True,True,False
1323,uid://A002/X8081ba/X11fb,2014-05-03 16:28:49.436000,True,True,True,False
1324,uid://A002/X8081ba/Xf99,2014-05-03 15:34:14.995000,True,True,True,False
1325,uid://A002/X8081ba/Xce2,2014-05-03 14:27:09.846000,True,True,True,False
1326,uid://A002/X8081ba/Xce1,2014-05-03 14:25:16.514000,True,True,True,False
1327,uid://A002/X8081ba/Xaf2,2014-05-03 13:40:25.255000,True,True,True,False
1328,uid://A002/X8081ba/X86e,2014-05-03 12:32:39.938000,True,True,True,False
1329,uid://A002/X8081ba/X85e,2014-05-03 12:27:11.661000,True,True,True,False
1330,uid://A002/X8081ba/X6a5,2014-05-03 10:59:36.707000,True,True,True,False
1331,uid://A002/X8081ba/X57e,2014-05-03 10:22:06.632000,True,True,True,False
1332,uid://A002/X8081ba/X55f,2014-05-03 10:15:45.482000,True,True,True,False
1333,uid://A002/X8081ba/X309,2014-05-03 09:27:28.850000,True,True,True,False
1334,uid://A002/X8081ba/Xb6,2014-05-03 08:35:30.730000,True,True,True,True
1335,uid://A002/X8081ba/Xb5,2014-05-03 08:33:48.171000,True,True,True,False
1336,uid://A002/X8081ba/X63,2014-05-03 08:25:53.115000,True,True,True,True
1337,uid://A002/X8078d7/X660,2014-05-03 05:10:07.173000,True,True,True,False
1338,uid://A002/X807059/X213,2014-05-02 23:50:25.472000,True,True,True,True
1339,uid://A002/X804fed/X1c7f,2014-05-02 10:43:32.389000,True,True,True,True
1340,uid://A002/X804fed/X1943,2014-05-02 09:34:52.061000,True,True,True,True
1341,uid://A002/X804fed/X1760,2014-05-02 09:06:01.977000,True,True,True,True
1342,uid://A002/X804fed/X1160,2014-05-02 07:26:40.850000,True,True,True,True
1343,uid://A002/X804fed/Xe87,2014-05-02 06:10:30.625000,True,True,True,True
1344,uid://A002/X804fed/Xd53,2014-05-02 05:39:16.302000,True,True,True,True
1345,uid://A002/X804fed/Xa46,2014-05-02 04:44:56.787000,True,True,True,True
1346,uid://A002/X804fed/X725,2014-05-02 03:39:13.001000,True,True,True,True
1347,uid://A002/X804fed/X65d,2014-05-02 03:22:37.746000,True,True,True,True
1348,uid://A002/X804fed/X55d,2014-05-02 02:53:07.732000,True,True,True,True
1349,uid://A002/X804fed/X50e,2014-05-02 02:40:42.367000,True,True,True,True
1350,uid://A002/X804fed/X273,2014-05-02 01:38:09.122000,True,True,True,True
1351,uid://A002/X804fed/X210,2014-05-02 01:32:03.806000,True,True,True,True
1352,uid://A002/X8045ee/X4d3,2014-05-01 12:12:07.977000,True,True,True,True
1353,uid://A002/X8045ee/X2ca,2014-05-01 11:12:53.520000,True,True,True,True
1354,uid://A002/X8045ee/X88,2014-05-01 10:16:17.975000,True,True,True,True
1355,uid://A002/X80325b/X14a3,2014-05-01 04:35:02.272000,True,True,True,True
1356,uid://A002/X80325b/X13d5,2014-05-01 04:13:13.571000,True,True,True,True
1357,uid://A002/X80325b/Xe60,2014-05-01 02:49:36.198000,True,True,True,True
1358,uid://A002/X80325b/Xe5f,2014-05-01 02:49:06.911000,True,True,True,True
1359,uid://A002/X80325b/Xe5e,2014-05-01 02:41:54.479000,True,True,True,True
1360,uid://A002/X80325b/Xd26,2014-05-01 02:18:34.791000,True,True,True,True
1361,uid://A002/X80325b/Xca2,2014-05-01 02:11:09.142000,True,True,True,True
1362,uid://A002/X80325b/X7d7,2014-05-01 00:58:51.988000,True,True,True,True
1363,uid://A002/X80325b/X57b,2014-05-01 00:07:47.529000,True,True,True,True
1364,uid://A002/X80325b/X3ba,2014-04-30 23:17:47.362000,True,True,True,True
1365,uid://A002/X80325b/X307,2014-04-30 22:56:07.210000,True,True,True,True
1366,uid://A002/X80325b/X264,2014-04-30 22:34:11.682000,False,True,True,True
1367,uid://A002/X80325b/X1ae,2014-04-30 22:19:51.293000,True,True,True,True
1368,uid://A002/X8022df/X791,2014-04-30 03:55:56.274000,True,True,True,True
1369,uid://A002/X8022df/X781,2014-04-30 03:40:28.640000,True,True,True,True
1370,uid://A002/X8022df/X514,2014-04-30 02:42:57.254000,True,True,True,True
1371,uid://A002/X8022df/X270,2014-04-30 01:21:31.454000,True,True,True,True
1372,uid://A002/X8022df/X170,2014-04-30 00:41:09.053000,True,True,True,True
1373,uid://A002/X8022df/Xb5,2014-04-30 00:02:51.324000,True,True,True,True
1374,uid://A002/X80199b/X786,2014-04-29 11:55:04.013000,True,True,True,False
